price
1.3173
1.3162
1.3163
1.3161
1.316
1.3167
1.317
1.3171
1.3189
1.319
1.3189
1.3218
1.3221
1.321
1.3193
1.319
1.3194
1.3193
1.3208
1.3181
1.3179
1.3182
1.3177
1.3178
1.3172
1.3177
1.3175
1.3166
1.3169
1.3172
1.3151
1.3159
1.317
1.3164
1.3163
1.3193
1.3176
1.3082
1.3074
1.3063
1.3066
1.3065
1.3056
1.3064
1.3062
1.3059
1.3059
1.3062
1.3069
1.307
1.3073
1.3071
1.307
1.3072
1.3104
1.3104
1.3123
1.3119
1.3115
1.3106
1.3043
1.3111
1.3118
1.3109
1.3108
1.3102
1.3108
1.3114
1.3115
1.3111
1.3118
1.3129
1.3125
1.3122
1.3122
1.3119
1.3117
1.3104
1.3109
1.3106
1.3106
1.31
1.3104
1.3106
1.3098
1.3056
1.3068
1.307
1.3077
1.3076
1.3074
1.3074
1.3071
1.3072
1.3071
1.3076
1.3076
1.3077
1.3077
1.3079
1.3086
1.307
1.3079
1.3076
1.3076
1.3117
1.3115
1.311
1.3108
1.3082
1.3081
1.3081
1.3084
1.3082
1.3074
1.3077
1.3076
1.3073
1.3073
1.3074
1.309
1.3086
1.3088
1.3089
1.3091
1.3111
1.3092
1.312
1.3122
1.3124
1.3129
1.3159
1.3168
1.3171
1.3178
1.3169
1.3162
1.3157
1.3154
1.315
1.3155
1.3158
1.3158
1.3157
1.3155
1.3161
1.3162
1.3159
1.3152
1.3159
1.3166
1.315
1.3144
1.3151
1.3141
1.3128
1.3099
1.3096
1.3101
1.3107
1.3101
1.3021
1.303
1.304
1.304
1.3036
1.303
1.3027
1.3036
1.3039
1.304
1.3038
1.3043
1.3033
1.3032
1.2995
1.3003
1.2996
1.2993
1.3012
1.2998
1.2971
1.2951
1.297
1.2974
1.2981
1.2981
1.2983
1.2967
1.2965
1.2965
1.297
1.2972
1.2964
1.2971
1.2981
1.2983
1.2961
1.2967
1.2974
1.2981
1.2985
1.2976
1.2991
1.2984
1.298
1.2976
1.2973
1.2969
1.2969
1.2974
1.298
1.2978
1.2984
1.3017
1.3013
1.3013
1.3005
1.301
1.3006
1.3001
1.2997
1.3002
1.2987
1.2957
1.2964
1.297
1.2971
1.2976
1.2967
1.2952
1.2941
1.2935
1.2934
1.2921
1.2929
1.2931
1.2934
1.2938
1.2921
1.2925
1.2932
1.2934
1.2925
1.2902
1.2902
1.2899
1.2884
1.2853
1.2854
1.2869
1.287
1.2861
1.2853
1.2858
1.2872
1.2872
1.2879
1.2885
1.2878
1.2874
1.288
1.2878
1.2871
1.287
1.2866
1.2871
1.2864
1.2867
1.2855
1.2858
1.2872
1.2862
1.2875
1.2894
1.2898
1.2915
1.2896
1.2893
1.2905
1.2904
1.2876
1.288
1.2881
1.2887
1.2881
1.2879
1.2867
1.2859
1.2856
1.2861
1.2861
1.286
1.2873
1.2862
1.2882
1.2858
1.287
1.2821
1.2804
1.2826
1.2816
1.2826
1.2833
1.2827
1.2825
1.2826
1.2826
1.2833
1.2819
1.283
1.2834
1.284
1.2839
1.2841
1.284
1.286
1.287
1.2859
1.286
1.2861
1.2847
1.2845
1.2855
1.2861
1.2873
1.2875
1.2892
1.2886
1.2879
